Design,Strut Radius (um) ,Center Mass Radius (µm) ,Corner Mass Radius (um) ,Bandgap 1 Width (MHz),Bandgap 1 Center (MHz),Bandgap 2 Width (MHz),Bandgap 2 Center (MHz),Bandgap 3 Width (MHz),Bandgap 3 Center (MHz)
BC Both,4.220776277,6.024060919,7.796011539,0.1348,2.3338,,,,
BC Both,5.098249844,4.932012583,4.861671137,0.2611,5.88355,,,,
BC Both,5.607310732,5.357457044,8.030538408,0.2947,6.51835,,,,
BC Both,5.905527168,4.776319692,9.401892428,0.271,6.8632,0.1555,9.04285,,
BC Both,4.99198088648691,8.44294362592008,16.6475270163604,1.0738,7.2689,0.1317,9.47565,,
BC Both,4.54782267644241,9.41842774778094,18.5017105316045,1.2759,7.11105,,,,
BC Both,5.30762686504034,8.49674688262574,19.2811525809908,1.9574,8.1118,,,,
BC Both,4.73175586601083,7.36080674178538,18.3996485558632,2.1671,7.55115,,,,
BC Both,4.29020771436997,9.498055641434,14.9405566671969,0.1246,6.8834,0.1451,7.71225,,
BC Both,5.46396777842574,9.92470501225885,18.2239451923211,0.914,7.8222,,,,
BC Both,4.89335490461348,17.2032130083637,19.937631366354,0.155399999999999,7.6989,0.477,11.4415,,
BC Both,4.26972959311475,18.2509976049491,18.860419293853,1.0363,6.68505,0.585000000000001,10.3095,,
BC Both,4.43688421835179,18.2201904819639,18.7387554414747,0.958,6.8256,0.168999999999999,10.4035,,
BC Both,5.79096744049294,18.4721172785816,19.4596816994454,0.4354,8.3596,,,,
BC Both,5.08722345541346,13.3352364683766,2.68471057542235,0.1295,2.55965,1.1334,7.2167,,
BC Both,5.93887732418382,14.9704489117459,5.97031213793749,0.795300000000001,8.68675,,,,
BC Both,4.98724179017697,11.6994744320243,2.21707851000683,0.1305,2.61155,1.0347,7.21605,,
BC Both,4.72583395783143,19.2122814203746,1.34343837473475,0.054,1.955,0.271299999999999,4.58565,2.1532,7.0662
BC Both,4.30365908260888,19.3862272825568,2.13224001629757,0.1,1.6564,0.4339,3.97475,2.5527,6.54135
BC Both,4.24810303806599,18.4842714816365,4.78797513146352,0.133,1.6457,0.2745,3.92655,2.3885,6.36005
